%date	retm	tnam
19910328	0.03397	14805.3
19910430	0.0037	14990
19910531	0.05702	16004.6
19910628	-0.05876	15251.8
19910731	0.06211	16384.4
19910830	0.03074	17227.3
19910930	-0.00378	17276.5
19911031	0.01343	17704.6
19911129	-0.04942	16992.5
19911231	0.11802	19257.1
19920131	0.00044	19424.1
19920228	0.02025	20049.7
19920331	-0.02713	19745.5
19920430	0.01482	20442
19920529	0.00958	20788
19920630	-0.01761	20553.6
19920731	0.02806	21219.9
19920831	-0.02169	20826.5
19920930	0.01147	21046.6
19921030	0.00705	21193.2
19921130	0.02526	21817.3
19921231	0.01939	22268.9
19930129	0.02635	22940
19930226	0.02088	23484.3
19930331	0.03666	24875.4
19930430	0.00979	25345.8
19930528	0.03941	26537.5
19930630	0.01395	27126.3
19930730	0.01103	27804.6
19930831	0.05881	29847.9
19930930	0.01084	30509.8
19931029	0.00066	31024.5
19931130	-0.03295	30614.6
19931231	0.02987	31705.1
19940131	0.03952	33943.1
19940228	-0.00733	33984.7
19940331	-0.04637	33197
19940429	0.01004	34175.4
19940531	-0.01152	34278.3
19940630	-0.04339	33179.4
19940729	0.03347	34147.2
19940831	0.04737	36708.2
19940930	-0.02601	36163
19941031	0.03382	37567.1
19941130	-0.05481	35954.9
19941230	0.01412	36441.5
19950131	-0.01018	36091.3
19950228	0.05611	38217.4
19950331	0.03738	39773.8
19950428	0.04652	41810.7
19950531	0.02796	43208.4
19950630	0.07617	46653.2
19950731	0.07677	50729.4
19950831	0.00868	51613
19950929	0.01852	53038.2
19951031	-0.02577	52310.8
19951130	0.02222	53805
19951229	-0.01076	53702.3
19960131	0.01442	55429.9
19960229	-0.00654	55501.6
19960329	0.00992	56159.9
19960430	0.00651	56019.5
19960531	0.00452	55203.3
19960628	-0.00093	54468.6
19960731	-0.04652	50972.3
19960830	0.02524	51683
19960930	0.04007	53001.4
19961031	0.02367	53244.4
19961129	0.06474	55851.1
19961231	-0.01968	53988.7
19970131	0.04389	55151
19970228	-0.01342	53788.9
19970331	-0.03443	51417.6
19970430	0.04464	52990.8
19970530	0.07134	56264.4
19970630	0.0414	58340.3
19970731	0.08391	62949.7
19970829	-0.04448	60097.1
19970930	0.05885	63775.68
19971031	-0.03405	61752.76
19971128	0.01949	63035.38
19971231	0.01138	63766.16
19980130	0.01081	63958.6
19980227	0.0758	68703.59
19980331	0.05029	72042.39
19980430	0.01158	72959.6
19980529	-0.01976	71534.47
19980630	0.04261	74613.36
19980731	-0.00748	73830.43
19980831	-0.15486	62315.3
19980930	0.06046	65881.99
19981030	0.07701	70600.02
19981130	0.0776	76290.44
19981231	0.09619	83552.07
19990129	0.05247	88181.83
19990226	-0.03193	85857.73
19990331	0.05402	90778.93
19990430	0.02389	93682.26
19990528	-0.02875	91386.01
19990630	0.06517	97594.05
19990730	-0.03367	94598.43
19990831	-0.01236	93561.88
19990930	-0.01478	92186.96
19991029	0.06007	97456.28
19991130	0.02049	99184
19991231	0.07204	105938.51
20000131	-0.04809	100845.93
20000229	0.01	100818.58
20000331	0.09051	109072.99
20000428	-0.04307	104605.97
20000531	-0.03357	100939.75
20000630	0.03857	104718.32
20000731	-0.0124	103536.24
20000831	0.06393	109796.24
20000929	-0.0538	103647.67
20001031	-0.01793	101625.37
20001130	-0.08513	92588.11
20001229	0.00838	93066.88
20010131	0.03252	95834.25
20010228	-0.09368	86540.2
20010330	-0.06396	80177.71
20010430	0.08756	87197.48
20010531	0.01045	88173.13
20010629	-0.02467	86007.34
20010731	-0.0153	84557.97
20010831	-0.06481	78834.21
20010928	-0.08084	71651.69
20011031	0.02372	73285.52
20011130	0.0748	78790.21
20011231	0.01043	79515.17
20020131	-0.03147	76885.83
20020228	-0.01724	75376.13
20020328	0.03377	77766.88
20020430	-0.06358	72473.34
20020531	-0.00209	71892.81
20020628	-0.07669	65860.46
20020731	-0.07186	59855.35
20020830	0.00975	60280.61
20020930	-0.10758	53462.12
20021031	0.09444	58055.97
20021129	0.05007	60873.31
20021231	-0.06453	56750.75
20030131	-0.02761	54728.2
20030228	-0.01211	53720.6
20030331	0.01107	54165.1
20030430	0.08215	58661.8
20030530	0.04417	61169.6
20030630	0.0111	61942.4
20030731	0.01315	62509.9
20030829	0.0166	63346.4
20030930	-0.01477	62268.2
20031031	0.04881	65007.7
20031128	0.00441	64988.7
20031231	0.05231	67995.1
20040130	0.01279	67678.2
20040227	0.01424	68289.2
20040331	-0.01265	66873.3
20040430	-0.01705	65142.6
20040528	0.01051	65301.3
20040630	0.01455	65616.6
20040730	-0.03913	62421.7
20040831	0.0024	61924.9
20040930	0.00948	61520
20041029	0.01537	61721
20041130	0.03313	62550
20041231	0.03114	63295.8
20050131	-0.01879	60397.1
20050228	0.01188	59656.7
20050331	-0.01989	57371.6
20050429	-0.02059	54856.6
20050531	0.03605	55737.8
20050630	0.00039	54894.4
20050729	0.0402	55955.7
20050831	-0.01147	53890.9
20050930	0.00704	52491.6
20051031	-0.01285	50671.9
20051130	0.03349	51336.5
20051230	0.01976	51181
20060131    0.04773     51690.10
20060228    -0.01489    50230.10
20060331    0.02676     50753.00
20060428    0.01915     50963.50
20060531    -0.05096    47552.00
20060630    -0.00736    46615.30
20060731    -0.03127    44468.00
20060831    0.02404     45004.60
20060929    0.01128     44893.00
20061031    0.02913     45403.40
20061130    0.02598     45958.50
20061229    -0.00516    44962.20
