PERMNO,date,TICKER,COMNAM,RET
11850,20050531,XOM,EXXON MOBIL CORP,-0.009469
11850,20050630,XOM,EXXON MOBIL CORP,0.022598
11850,20050729,XOM,EXXON MOBIL CORP,0.022272
11850,20050831,XOM,EXXON MOBIL CORP,0.024511
11850,20050930,XOM,EXXON MOBIL CORP,0.060768
11850,20051031,XOM,EXXON MOBIL CORP,-0.116462
11850,20051130,XOM,EXXON MOBIL CORP,0.038831
11850,20051230,XOM,EXXON MOBIL CORP,-0.032052
11850,20060131,XOM,EXXON MOBIL CORP,0.117144
11850,20060228,XOM,EXXON MOBIL CORP,-0.048765
11850,20060331,XOM,EXXON MOBIL CORP,0.025097
11850,20060428,XOM,EXXON MOBIL CORP,0.036477
11850,20060531,XOM,EXXON MOBIL CORP,-0.029328
11850,20060630,XOM,EXXON MOBIL CORP,0.007224
11850,20060731,XOM,EXXON MOBIL CORP,0.104156
11850,20060831,XOM,EXXON MOBIL CORP,0.003691
11850,20060929,XOM,EXXON MOBIL CORP,-0.008423
11850,20061031,XOM,EXXON MOBIL CORP,0.064382
11850,20061130,XOM,EXXON MOBIL CORP,0.079950
11850,20061229,XOM,EXXON MOBIL CORP,-0.002343
11850,20070131,XOM,EXXON MOBIL CORP,-0.033016
11850,20070228,XOM,EXXON MOBIL CORP,-0.028340
11850,20070330,XOM,EXXON MOBIL CORP,0.052595
11850,20070430,XOM,EXXON MOBIL CORP,0.052087
11850,20070531,XOM,EXXON MOBIL CORP,0.052154
11850,20070629,XOM,EXXON MOBIL CORP,0.008537
11850,20070731,XOM,EXXON MOBIL CORP,0.014902
11850,20070831,XOM,EXXON MOBIL CORP,0.011159
11850,20070928,XOM,EXXON MOBIL CORP,0.079669
11850,20071031,XOM,EXXON MOBIL CORP,-0.006158
11850,20071130,XOM,EXXON MOBIL CORP,-0.026959
11850,20071231,XOM,EXXON MOBIL CORP,0.050808
11850,20080131,XOM,EXXON MOBIL CORP,-0.077810
11850,20080229,XOM,EXXON MOBIL CORP,0.011111
11850,20080331,XOM,EXXON MOBIL CORP,-0.027928
11850,20080430,XOM,EXXON MOBIL CORP,0.100378
11850,20080530,XOM,EXXON MOBIL CORP,-0.042011
11850,20080630,XOM,EXXON MOBIL CORP,-0.007098
11850,20080731,XOM,EXXON MOBIL CORP,-0.087371
11850,20080829,XOM,EXXON MOBIL CORP,-0.000249
11850,20080930,XOM,EXXON MOBIL CORP,-0.029371
11850,20081031,XOM,EXXON MOBIL CORP,-0.045583
11850,20081128,XOM,EXXON MOBIL CORP,0.086751
11850,20081231,XOM,EXXON MOBIL CORP,-0.003993
11850,20090130,XOM,EXXON MOBIL CORP,-0.041964
11850,20090227,XOM,EXXON MOBIL CORP,-0.106956
11850,20090331,XOM,EXXON MOBIL CORP,0.002945
11850,20090430,XOM,EXXON MOBIL CORP,-0.020999
11850,20090529,XOM,EXXON MOBIL CORP,0.046498
11850,20090630,XOM,EXXON MOBIL CORP,0.008075
11850,20090731,XOM,EXXON MOBIL CORP,0.006866
11850,20090831,XOM,EXXON MOBIL CORP,-0.011649
11850,20090930,XOM,EXXON MOBIL CORP,-0.007809
11850,20091030,XOM,EXXON MOBIL CORP,0.044600
11850,20091130,XOM,EXXON MOBIL CORP,0.053300
11850,20091231,XOM,EXXON MOBIL CORP,-0.091648
11850,20100129,XOM,EXXON MOBIL CORP,-0.055140
11850,20100226,XOM,EXXON MOBIL CORP,0.015366
11850,20100331,XOM,EXXON MOBIL CORP,0.030462
11850,20100430,XOM,EXXON MOBIL CORP,0.011794
11850,20100528,XOM,EXXON MOBIL CORP,-0.101372
11850,20100630,XOM,EXXON MOBIL CORP,-0.056070
11850,20100730,XOM,EXXON MOBIL CORP,0.045733
11850,20100831,XOM,EXXON MOBIL CORP,-0.002178
11850,20100930,XOM,EXXON MOBIL CORP,0.045339
11850,20101029,XOM,EXXON MOBIL CORP,0.076064
11850,20101130,XOM,EXXON MOBIL CORP,0.052790
11850,20101231,XOM,EXXON MOBIL CORP,0.051179
11850,20110131,XOM,EXXON MOBIL CORP,0.103392
11850,20110228,XOM,EXXON MOBIL CORP,0.065568
11850,20110331,XOM,EXXON MOBIL CORP,-0.016369
11850,20110429,XOM,EXXON MOBIL CORP,0.045763
11850,20110531,XOM,EXXON MOBIL CORP,-0.045920
11850,20110630,XOM,EXXON MOBIL CORP,-0.025039
11850,20110729,XOM,EXXON MOBIL CORP,-0.019538
11850,20110831,XOM,EXXON MOBIL CORP,-0.066424
11850,20110930,XOM,EXXON MOBIL CORP,-0.018779
11850,20111031,XOM,EXXON MOBIL CORP,0.075176
11850,20111130,XOM,EXXON MOBIL CORP,0.036112
11850,20111230,XOM,EXXON MOBIL CORP,0.053705
11850,20120131,XOM,EXXON MOBIL CORP,-0.012034
11850,20120229,XOM,EXXON MOBIL CORP,0.038572
11850,20120330,XOM,EXXON MOBIL CORP,0.002659
11850,20120430,XOM,EXXON MOBIL CORP,-0.004497
11850,20120531,XOM,EXXON MOBIL CORP,-0.082696
11850,20120629,XOM,EXXON MOBIL CORP,0.088262
11850,20120731,XOM,EXXON MOBIL CORP,0.014958
11850,20120831,XOM,EXXON MOBIL CORP,0.011744
11850,20120928,XOM,EXXON MOBIL CORP,0.047537
11850,20121031,XOM,EXXON MOBIL CORP,-0.003062
11850,20121130,XOM,EXXON MOBIL CORP,-0.026983
11850,20121231,XOM,EXXON MOBIL CORP,-0.018039
11850,20130131,XOM,EXXON MOBIL CORP,0.039515
11850,20130228,XOM,EXXON MOBIL CORP,0.001667
11850,20130328,XOM,EXXON MOBIL CORP,0.006253
11850,20130430,XOM,EXXON MOBIL CORP,-0.012429
11850,20130531,XOM,EXXON MOBIL CORP,0.023711
11850,20130628,XOM,EXXON MOBIL CORP,-0.001326
11850,20130731,XOM,EXXON MOBIL CORP,0.037631
11850,20130830,XOM,EXXON MOBIL CORP,-0.063573
11850,20130930,XOM,EXXON MOBIL CORP,-0.012850
11850,20131031,XOM,EXXON MOBIL CORP,0.041609
11850,20131129,XOM,EXXON MOBIL CORP,0.050100
11850,20131231,XOM,EXXON MOBIL CORP,0.082584
11850,20140131,XOM,EXXON MOBIL CORP,-0.089328
11850,20140228,XOM,EXXON MOBIL CORP,0.051432
11850,20140331,XOM,EXXON MOBIL CORP,0.014646
11850,20140430,XOM,EXXON MOBIL CORP,0.048423
11850,20140530,XOM,EXXON MOBIL CORP,-0.011620
11850,20140630,XOM,EXXON MOBIL CORP,0.001492
11850,20140731,XOM,EXXON MOBIL CORP,-0.017282
11850,20140829,XOM,EXXON MOBIL CORP,0.012230
11850,20140930,XOM,EXXON MOBIL CORP,-0.054394
11850,20141031,XOM,EXXON MOBIL CORP,0.028283
11850,20141128,XOM,EXXON MOBIL CORP,-0.056664
11850,20141231,XOM,EXXON MOBIL CORP,0.021096
11850,20150130,XOM,EXXON MOBIL CORP,-0.054408
11850,20150227,XOM,EXXON MOBIL CORP,0.020705
11850,20150331,XOM,EXXON MOBIL CORP,-0.039982
11850,20150430,XOM,EXXON MOBIL CORP,0.027882
11850,20150529,XOM,EXXON MOBIL CORP,-0.016482
11850,20150630,XOM,EXXON MOBIL CORP,-0.023474
11850,20150731,XOM,EXXON MOBIL CORP,-0.047957
11850,20150831,XOM,EXXON MOBIL CORP,-0.040904
11850,20150930,XOM,EXXON MOBIL CORP,-0.011829
11850,20151030,XOM,EXXON MOBIL CORP,0.112845
11850,20151130,XOM,EXXON MOBIL CORP,-0.004230
11850,20151231,XOM,EXXON MOBIL CORP,-0.045432
11850,20160129,XOM,EXXON MOBIL CORP,-0.001283
11850,20160229,XOM,EXXON MOBIL CORP,0.038921
11850,20160331,XOM,EXXON MOBIL CORP,0.042919
11850,20160429,XOM,EXXON MOBIL CORP,0.057543
11850,20160531,XOM,EXXON MOBIL CORP,0.015498
11850,20160630,XOM,EXXON MOBIL CORP,0.053022
11850,20160729,XOM,EXXON MOBIL CORP,-0.051099
11850,20160831,XOM,EXXON MOBIL CORP,-0.011917
11850,20160930,XOM,EXXON MOBIL CORP,0.001607
11850,20161031,XOM,EXXON MOBIL CORP,-0.045371
11850,20161130,XOM,EXXON MOBIL CORP,0.056769
11850,20161230,XOM,EXXON MOBIL CORP,0.033906
14072,20130731,,,
14072,20130830,XON,INTREXON CORP,C
14072,20130930,XON,INTREXON CORP,0.090198
14072,20131031,XON,INTREXON CORP,-0.105108
14072,20131129,XON,INTREXON CORP,0.079717
14072,20131231,XON,INTREXON CORP,0.039755
14072,20140131,XON,INTREXON CORP,0.410504
14072,20140228,XON,INTREXON CORP,-0.226095
14072,20140331,XON,INTREXON CORP,0.011932
14072,20140430,XON,INTREXON CORP,-0.281856
14072,20140530,XON,INTREXON CORP,0.117055
14072,20140630,XON,INTREXON CORP,0.191560
14072,20140731,XON,INTREXON CORP,-0.120971
14072,20140829,XON,INTREXON CORP,-0.081938
14072,20140930,XON,INTREXON CORP,-0.083826
14072,20141031,XON,INTREXON CORP,0.201292
14072,20141128,XON,INTREXON CORP,0.188620
14072,20141231,XON,INTREXON CORP,0.037693
14072,20150130,XON,INTREXON CORP,0.042862
14072,20150227,XON,INTREXON CORP,0.430164
14072,20150331,XON,INTREXON CORP,0.104968
14072,20150430,XON,INTREXON CORP,-0.144148
14072,20150529,XON,INTREXON CORP,0.084728
14072,20150630,XON,INTREXON CORP,0.199433
14072,20150731,XON,INTREXON CORP,0.337090
14072,20150831,XON,INTREXON CORP,-0.318008
14072,20150930,XON,INTREXON CORP,-0.285393
14072,20151030,XON,INTREXON CORP,0.056604
14072,20151130,XON,INTREXON CORP,0.080655
14072,20151231,XON,INTREXON CORP,-0.169650
14072,20160129,XON,INTREXON CORP,-0.033499
14072,20160229,XON,INTREXON CORP,0.062114
14072,20160331,XON,INTREXON CORP,0.094992
14072,20160429,XON,INTREXON CORP,-0.211272
14072,20160531,XON,INTREXON CORP,0.150019
14072,20160630,XON,INTREXON CORP,-0.199414
14072,20160729,XON,INTREXON CORP,0.029256
14072,20160831,XON,INTREXON CORP,-0.003553
14072,20160930,XON,INTREXON CORP,0.110143
14072,20161031,XON,INTREXON CORP,-0.068522
14072,20161130,XON,INTREXON CORP,0.118008
14072,20161230,XON,INTREXON CORP,-0.167238
18163,19730131,PG,PROCTER & GAMBLE CO,-0.021166
18163,19730228,PG,PROCTER & GAMBLE CO,-0.017241
18163,19730330,PG,PROCTER & GAMBLE CO,-0.054971
18163,19730430,PG,PROCTER & GAMBLE CO,-0.009752
18163,19730531,PG,PROCTER & GAMBLE CO,-0.021330
18163,19730629,PG,PROCTER & GAMBLE CO,0.066667
18163,19730731,PG,PROCTER & GAMBLE CO,0.092067
18163,19730831,PG,PROCTER & GAMBLE CO,-0.129282
18163,19730928,PG,PROCTER & GAMBLE CO,0.005076
18163,19731031,PG,PROCTER & GAMBLE CO,0.046212
18163,19731130,PG,PROCTER & GAMBLE CO,-0.078788
18163,19731231,PG,PROCTER & GAMBLE CO,-0.031579
18163,19740131,PG,PROCTER & GAMBLE CO,-0.022283
18163,19740228,PG,PROCTER & GAMBLE CO,-0.015363
18163,19740329,PG,PROCTER & GAMBLE CO,0.004255
18163,19740430,PG,PROCTER & GAMBLE CO,0.064407
18163,19740531,PG,PROCTER & GAMBLE CO,0.045333
18163,19740628,PG,PROCTER & GAMBLE CO,0.017857
18163,19740731,PG,PROCTER & GAMBLE CO,-0.044361
18163,19740830,PG,PROCTER & GAMBLE CO,-0.127800
18163,19740930,PG,PROCTER & GAMBLE CO,-0.117825
18163,19741031,PG,PROCTER & GAMBLE CO,0.194521
18163,19741129,PG,PROCTER & GAMBLE CO,-0.046110
18163,19741231,PG,PROCTER & GAMBLE CO,-0.015106
18163,19750131,PG,PROCTER & GAMBLE CO,0.127301
18163,19750228,PG,PROCTER & GAMBLE CO,0.032832
18163,19750331,PG,PROCTER & GAMBLE CO,0.014570
18163,19750430,PG,PROCTER & GAMBLE CO,0.000000
18163,19750530,PG,PROCTER & GAMBLE CO,0.018373
18163,19750630,PG,PROCTER & GAMBLE CO,0.011598
18163,19750731,PG,PROCTER & GAMBLE CO,-0.082803
18163,19750829,PG,PROCTER & GAMBLE CO,-0.055866
18163,19750930,PG,PROCTER & GAMBLE CO,-0.017751
18163,19751031,PG,PROCTER & GAMBLE CO,0.075301
18163,19751128,PG,PROCTER & GAMBLE CO,0.047887
18163,19751231,PG,PROCTER & GAMBLE CO,-0.043011
18163,19760130,PG,PROCTER & GAMBLE CO,0.039326
18163,19760227,PG,PROCTER & GAMBLE CO,-0.077446
